직업코드,직업명,조사년도,총 구인인원
011,의회의원ㆍ고위공무원 및 기업 고위 임원,2022,227
012,행정ㆍ경영ㆍ금융ㆍ보험 관리자,2022,1585
013,전문서비스 관리자,2022,718
014,미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자,2022,70
015,영업ㆍ판매ㆍ운송 관리자,2022,844
016,건설ㆍ채굴ㆍ제조ㆍ생산 관리자,2022,975
021,정부ㆍ공공 행정 전문가,2022,9
022,경영ㆍ인사 전문가,2022,2658
023,회계ㆍ세무ㆍ감정 전문가,2022,2791
024,광고ㆍ조사ㆍ상품기획ㆍ행사기획 전문가,2022,7308
025,정부ㆍ공공 행정 사무원,2022,3113
026,경영지원 사무원,2022,92441
027,회계ㆍ경리 사무원,2022,33071
028,무역ㆍ운송ㆍ생산ㆍ품질 사무원,2022,48481
029,안내ㆍ고객상담ㆍ통계ㆍ비서ㆍ사무보조 및 기타 사무원,2022,85595
031,금융ㆍ보험 전문가,2022,3708
032,금융ㆍ보험 사무원,2022,13937
033,금융ㆍ보험 영업원,2022,1790
110,인문ㆍ사회과학 연구원,2022,3271
121,자연과학 연구원 및 시험원,2022,3444
122,생명과학 연구원 및 시험원,2022,6049
131,컴퓨터 하드웨어ㆍ통신공학 기술자,2022,3013
132,컴퓨터시스템 전문가,2022,2157
133,소프트웨어 개발자,2022,44420
134,데이터ㆍ네트워크 및 시스템 운영 전문가,2022,12933
135,정보보안 전문가,2022,2099
136,통신ㆍ방송송출 장비 기사,2022,190
140,건축ㆍ토목 공학 기술자 및 시험원,2022,43198
151,기계ㆍ로봇공학 기술자 및 시험원,2022,16451
152,금속ㆍ재료공학 기술자 및 시험원,2022,2547
153,전기ㆍ전자공학 기술자 및 시험원,2022,20895
154,화학공학 기술자 및 시험원,2022,6570
155,에너지ㆍ환경공학 기술자 및 시험원,2022,4896
156,섬유공학 기술자 및 시험원,2022,534
157,식품공학 기술자 및 시험원,2022,1271
158,소방ㆍ방재ㆍ산업안전ㆍ비파괴 기술자,2022,11352
159,제도사 및 기타 인쇄ㆍ목재 등 공학 기술자 및 시험원,2022,4592
211,대학교수 및 강사,2022,38165
212,학교 교사,2022,16273
213,유치원 교사,2022,9042
214,문리ㆍ기술ㆍ예능 강사,2022,15873
215,장학관 및 기타 교육 종사자,2022,17246
221,법률 전문가,2022,1949
222,법률 사무원,2022,3037
231,사회복지사 및 상담사,2022,19565
232,보육교사 및 기타 사회복지 종사자,2022,53497
233,성직자 및 기타 종교 종사자,2022,771
240,"경찰관, 소방관 및 교도관",2022,0
250,군인,2022,0
301,"의사, 한의사 및 치과의사",2022,13648
302,수의사,2022,263
303,약사 및 한약사,2022,1916
304,간호사,2022,47001
305,영양사,2022,3265
306,의료기사ㆍ치료사ㆍ재활사,2022,23979
307,보건ㆍ의료 종사자,2022,39990
411,작가ㆍ통번역가,2022,2584
412,기자 및 언론 전문가,2022,2677
413,학예사ㆍ사서ㆍ기록물관리사,2022,1127
414,"창작ㆍ공연 전문가(작가, 연극인 제외)",2022,1103
415,디자이너,2022,16789
416,연극ㆍ영화ㆍ방송 전문가,2022,5324
417,문화ㆍ예술 기획자 및 매니저,2022,1365
420,스포츠ㆍ레크리에이션 종사자,2022,7444
511,미용 서비스원,2022,6430
512,결혼ㆍ장례 등 예식 서비스원,2022,735
521,여행 서비스원,2022,1218
522,항공기ㆍ선박ㆍ열차 객실 승무원,2022,70
523,숙박시설 서비스원,2022,2635
524,오락시설 서비스원,2022,3018
531,주방장 및 조리사,2022,33421
532,식당 서비스원,2022,66829
541,경호ㆍ보안 종사자,2022,9231
542,경비원,2022,43511
550,돌봄 서비스 종사자,2022,61682
561,청소ㆍ방역 및 가사 서비스원,2022,78178
562,검침ㆍ주차관리 및 기타 서비스 단순 종사자,2022,19507
611,부동산 컨설턴트 및 중개인,2022,299
612,영업원 및 상품중개인,2022,47702
613,텔레마케터,2022,6236
614,소규모 상점 경영 및 일선 관리 종사자,2022,403
615,판매 종사자,2022,38170
616,매장 계산원 및 매표원,2022,10134
617,판촉 및 기타 판매 단순 종사자,2022,29247
621,항공기ㆍ선박ㆍ철도 조종사 및 관제사,2022,1163
622,자동차 운전원,2022,86728
623,"물품이동장비 조작원(크레인, 호이스트, 지게차)",2022,5163
624,택배원 및 기타 운송 종사자,2022,20523
701,건설구조 기능원,2022,38095
702,건축마감 기능원,2022,40529
703,배관공,2022,14999
704,건설ㆍ채굴기계 운전원,2022,3195
705,기타 건설ㆍ채굴 기능원(채굴포함),2022,2265
706,건설ㆍ채굴 단순 종사자,2022,104665
