직업코드,직업명,조사년도,총 구인인원
811,기계장비 설치ㆍ정비원(운송장비 제외),2022,16871
812,운송장비 정비원,2022,6892
813,금형원 및 공작기계 조작원,2022,21897
814,냉ㆍ난방 설비 조작원,2022,3784
815,자동 조립라인ㆍ산업용 로봇 조작원,2022,979
816,기계 조립원(운송장비 제외),2022,9581
817,운송장비 조립원,2022,10035
821,금속관련 기계ㆍ설비 조작원,2022,10026
822,판금원 및 제관원,2022,2799
823,단조원 및 주조원,2022,3765
824,용접원,2022,13061
825,도장원 및 도금원,2022,4323
826,비금속제품 생산기계 조작원,2022,3585
831,전기공,2022,15506
832,전기ㆍ전자기기 설치ㆍ수리원,2022,3525
833,발전ㆍ배전 장치 조작원,2022,669
834,전기ㆍ전자 설비 조작원,2022,12275
835,전기ㆍ전자 부품ㆍ제품 생산기계 조작원,2022,13391
836,전기ㆍ전자 부품ㆍ제품 조립원,2022,18081
841,정보통신기기 설치ㆍ수리원,2022,2859
842,방송·통신장비 설치ㆍ정비원,2022,7634
851,석유ㆍ화학물 가공장치 조작원,2022,2729
852,고무ㆍ플라스틱 및 화학제품 생산기계 조작원 및 조립원,2022,17151
853,환경관련 장치 조작원,2022,2402
861,섬유 제조ㆍ가공 기계 조작원,2022,3227
862,"패턴사, 재단사 및 재봉사",2022,2670
863,의복 제조원 및 수선원,2022,119
864,"제화원, 기타 섬유ㆍ의복 기계 조작원 및 조립원",2022,1405
871,제과ㆍ제빵원 및 떡제조원,2022,5006
872,식품 가공 기능원,2022,9281
873,식품 가공 기계 조작원,2022,6467
881,인쇄기계ㆍ사진현상기 조작원,2022,2797
882,목재ㆍ펄프ㆍ종이 생산기계 조작원,2022,3210
883,가구ㆍ목제품 제조ㆍ수리원,2022,2545
884,공예원 및 귀금속세공원,2022,451
885,악기ㆍ간판 및 기타 제조 종사자,2022,4148
890,제조 단순 종사자,2022,95391
901,작물재배 종사자,2022,2598
902,낙농ㆍ사육 종사자,2022,295
903,임업 종사자,2022,311
904,어업 종사자,2022,3
905,농림어업 단순 종사자,2022,3996
