"시도별(17개)","규모별","산업분류별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","전산업","2023. 1/2","2799017","200976","188593","12383","45143","49028","1.6",
"전국","5규모(300인이상)","전산업","2023. 2/2","2881790","167782","155292","12490","47098","52839","1.6",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2023. 1/2","748605","19441","17544","1897","7235","7662","1",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2023. 2/2","759086","22646","20467","2179","8321","9098","1.1",
"전국","5규모(300인이상)","B.광업(05~08)","2023. 1/2","1607","35","35","0","0","0","0",
"전국","5규모(300인이상)","B.광업(05~08)","2023. 2/2","1960","14","14","0","0","0","0",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2023. 1/2","1020","35","35","0","0","0","0",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2023. 2/2","1310","14","14","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2023. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2023. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2023. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2023. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2023. 1/2","588","0","0","0","0","0","0",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2023. 2/2","650","0","0","0","0","0","0",
"전국","5규모(300인이상)","C.제조업(10~34)","2023. 1/2","746998","19406","17509","1897","7235","7662","1",
"전국","5규모(300인이상)","C.제조업(10~34)","2023. 2/2","757126","22632","20454","2178","8321","9098","1.1",
"전국","5규모(300인이상)","C10 식료품 제조업","2023. 1/2","26709","2440","2042","398","836","833","3",
"전국","5규모(300인이상)","C10 식료품 제조업","2023. 2/2","27085","2589","2178","411","935","1046","3.3",
"전국","5규모(300인이상)","C11 음료 제조업","2023. 1/2","3826","210","196","14","108","108","2.7",
"전국","5규모(300인이상)","C11 음료 제조업","2023. 2/2","4011","82","39","43","58","58","1.4",
"전국","5규모(300인이상)","C12 담배 제조업","2023. 1/2","2553","153","153","0","28","28","1.1",
"전국","5규모(300인이상)","C12 담배 제조업","2023. 2/2","2143","61","61","0","19","19",".9",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2023. 1/2","2113","112","100","12","40","40","1.9",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2023. 2/2","2123","30","19","11","27","19","1.3",
