"시도별(17개)","규모별","직종별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"대전광역시","중소규모(5~299인)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직","2024. 1/2","37265","4414","4236","178","963","926","2.5",
"대전광역시","중소규모(5~299인)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직","2024. 2/2","37448","3805","3648","157","990","1030","2.6",
"대전광역시","중소규모(5~299인)","6 영업ㆍ판매ㆍ운전ㆍ운송직","2024. 1/2","38711","3278","2951","327","1471","1427","3.7",
"대전광역시","중소규모(5~299인)","6 영업ㆍ판매ㆍ운전ㆍ운송직","2024. 2/2","39060","2286","2082","204","1775","1739","4.3",
"대전광역시","중소규모(5~299인)","7 건설ㆍ채굴직","2024. 1/2","16161","6016","5855","161","237","237","1.4",
"대전광역시","중소규모(5~299인)","7 건설ㆍ채굴직","2024. 2/2","12388","7436","7428","8","944","846","7.1",
"대전광역시","중소규모(5~299인)","8 설치ㆍ정비ㆍ생산직","2024. 1/2","44121","3367","3119","248","1142","1222","2.5",
"대전광역시","중소규모(5~299인)","8 설치ㆍ정비ㆍ생산직","2024. 2/2","43609","5084","4728","356","1211","1199","2.7",
"대전광역시","중소규모(5~299인)","9 농림어업직","2024. 1/2","232","46","46","0","5","5","2.1",
"대전광역시","중소규모(5~299인)","9 농림어업직","2024. 2/2","424","182","182","0","1","1",".2",
"울산광역시","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2024. 1/2","1588","9","8","1","2","2",".1",
"울산광역시","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2024. 2/2","1634","5","5","0","2","2",".1",
"울산광역시","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2024. 1/2","12811","271","264","7","163","216","1.3",
"울산광역시","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2024. 2/2","13011","516","510","6","216","216","1.6",
"울산광역시","5규모(300인이상)","03 금융ㆍ보험직","2024. 1/2","273","1","1","0","0","0","0",
"울산광역시","5규모(300인이상)","03 금융ㆍ보험직","2024. 2/2","346","4","4","0","1","1",".3",
"울산광역시","5규모(300인이상)","11 인문ㆍ사회과학 연구직","2024. 1/2","46","7","7","0","4","4","8",
"울산광역시","5규모(300인이상)","11 인문ㆍ사회과학 연구직","2024. 2/2","48","5","5","0","2","2","4",
"울산광역시","5규모(300인이상)","12 자연ㆍ생명과학 연구직","2024. 1/2","421","72","72","0","35","35","7.7",
"울산광역시","5규모(300인이상)","12 자연ㆍ생명과학 연구직","2024. 2/2","432","62","62","0","49","49","10.2",
"울산광역시","5규모(300인이상)","13 정보통신 연구개발직 및 공학 기술직","2024. 1/2","527","6","6","0","6","6","1.1",
"울산광역시","5규모(300인이상)","13 정보통신 연구개발직 및 공학 기술직","2024. 2/2","545","14","14","0","6","7","1.1",
"울산광역시","5규모(300인이상)","14 건설ㆍ채굴 연구개발직 및 공학 기술직","2024. 1/2","525","27","27","0","1","1",".2",
"울산광역시","5규모(300인이상)","14 건설ㆍ채굴 연구개발직 및 공학 기술직","2024. 2/2","501","27","27","0","0","0","0",
"울산광역시","5규모(300인이상)","15 제조 연구개발직 및 공학 기술직","2024. 1/2","11388","303","302","1","282","294","2.4",
"울산광역시","5규모(300인이상)","15 제조 연구개발직 및 공학 기술직","2024. 2/2","11511","468","465","3","171","267","1.5",
"울산광역시","5규모(300인이상)","21 교육직","2024. 1/2","1826","157","157","0","124","124","6.4",
"울산광역시","5규모(300인이상)","21 교육직","2024. 2/2","1832","169","169","0","153","153","7.7",
"울산광역시","5규모(300인이상)","22 법률직","2024. 1/2","54","0","0","0","1","1","1.8",
"울산광역시","5규모(300인이상)","22 법률직","2024. 2/2","55","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","23 사회복지ㆍ종교직","2024. 1/2","63","10","10","0","0","0","0",
"울산광역시","5규모(300인이상)","23 사회복지ㆍ종교직","2024. 2/2","29","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","24 경찰ㆍ소방ㆍ교도직","2024. 1/2","40","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","24 경찰ㆍ소방ㆍ교도직","2024. 2/2","43","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","25 군인 ","2024. 1/2","0","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","25 군인 ","2024. 2/2","0","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","30 보건ㆍ의료직","2024. 1/2","5924","575","569","6","110","112","1.8",
"울산광역시","5규모(300인이상)","30 보건ㆍ의료직","2024. 2/2","5854","361","350","11","175","178","2.9",
"울산광역시","5규모(300인이상)","41 예술ㆍ디자인ㆍ방송직","2024. 1/2","49","1","1","0","1","1","2",
"울산광역시","5규모(300인이상)","41 예술ㆍ디자인ㆍ방송직","2024. 2/2","51","3","3","0","0","0","0",
"울산광역시","5규모(300인이상)","42 스포츠ㆍ레크리에이션직","2024. 1/2","42","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","42 스포츠ㆍ레크리에이션직","2024. 2/2","38","0","0","0","4","4","9.5",
"울산광역시","5규모(300인이상)","51 미용ㆍ예식 서비스직","2024. 1/2","6","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","51 미용ㆍ예식 서비스직","2024. 2/2","6","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","52 여행ㆍ숙박ㆍ오락 서비스직","2024. 1/2","0","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","52 여행ㆍ숙박ㆍ오락 서비스직","2024. 2/2","0","0","0","0","0","0","0",
"울산광역시","5규모(300인이상)","53 음식 서비스직","2024. 1/2","1730","97","97","0","31","32","1.8",
"울산광역시","5규모(300인이상)","53 음식 서비스직","2024. 2/2","1738","79","79","0","16","16",".9",
"울산광역시","5규모(300인이상)","54 경호ㆍ경비직","2024. 1/2","2974","325","325","0","11","11",".4",
