"시도별(17개)","규모별","산업분류별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","M73 기타 전문, 과학 및 기술 서비스업","2024. 1/2","3179","149","127","22","148","200","4.4",
"전국","5규모(300인이상)","M73 기타 전문, 과학 및 기술 서비스업","2024. 2/2","3226","225","210","15","128","206","3.8",
"전국","5규모(300인이상)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2024. 1/2","518189","79637","76292","3345","9058","10097","1.7",
"전국","5규모(300인이상)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2024. 2/2","519587","62264","55737","6527","12863","14384","2.4",
"전국","5규모(300인이상)","N74 사업시설 관리 및 조경 서비스업","2024. 1/2","137434","18569","18080","489","2341","2528","1.7",
"전국","5규모(300인이상)","N74 사업시설 관리 및 조경 서비스업","2024. 2/2","140355","11823","11380","443","3146","3462","2.2",
"전국","5규모(300인이상)","N75 사업 지원 서비스업","2024. 1/2","378393","61019","58180","2839","6692","7542","1.7",
"전국","5규모(300인이상)","N75 사업 지원 서비스업","2024. 2/2","376915","50364","44286","6078","9642","10846","2.5",
"전국","5규모(300인이상)","N76 임대업; 부동산 제외","2024. 1/2","2362","49","32","17","26","26","1.1",
"전국","5규모(300인이상)","N76 임대업; 부동산 제외","2024. 2/2","2317","77","71","6","76","76","3.2",
"전국","5규모(300인이상)","P.교육 서비스업(85)","2024. 1/2","171794","21250","20571","679","1784","3375","1",
"전국","5규모(300인이상)","P.교육 서비스업(85)","2024. 2/2","172706","17913","17383","530","1843","3519","1.1",
"전국","5규모(300인이상)","P85 교육 서비스업","2024. 1/2","171794","21250","20571","679","1784","3375","1",
"전국","5규모(300인이상)","P85 교육 서비스업","2024. 2/2","172706","17913","17383","530","1843","3519","1.1",
"전국","5규모(300인이상)","Q.보건업 및 사회복지 서비스업(86~87)","2024. 1/2","369017","27711","25593","2118","6259","5666","1.7",
"전국","5규모(300인이상)","Q.보건업 및 사회복지 서비스업(86~87)","2024. 2/2","361825","18947","15748","3199","8698","8894","2.3",
"전국","5규모(300인이상)","Q86 보건업","2024. 1/2","348919","26147","24043","2104","6032","5354","1.7",
"전국","5규모(300인이상)","Q86 보건업","2024. 2/2","343036","17934","14742","3192","8524","8669","2.4",
"전국","5규모(300인이상)","Q87 사회복지 서비스업","2024. 1/2","20099","1565","1550","15","226","311","1.1",
"전국","5규모(300인이상)","Q87 사회복지 서비스업","2024. 2/2","18790","1012","1006","6","174","225",".9",
"전국","5규모(300인이상)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2024. 1/2","14454","1481","1368","113","419","583","2.8",
"전국","5규모(300인이상)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2024. 2/2","14775","2540","2475","65","354","322","2.3",
"전국","5규모(300인이상)","R90 창작, 예술 및 여가관련 서비스업","2024. 1/2","1230","35","34","1","83","83","6.3",
"전국","5규모(300인이상)","R90 창작, 예술 및 여가관련 서비스업","2024. 2/2","1252","27","18","9","73","43","5.5",
"전국","5규모(300인이상)","R91 스포츠 및 오락관련 서비스업","2024. 1/2","13224","1447","1334","113","336","500","2.5",
"전국","5규모(300인이상)","R91 스포츠 및 오락관련 서비스업","2024. 2/2","13523","2514","2457","57","281","278","2",
"전국","5규모(300인이상)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2024. 1/2","5244","374","277","97","486","496","8.5",
"전국","5규모(300인이상)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2024. 2/2","4541","222","195","27","195","195","4.1",
"전국","5규모(300인이상)","S94 협회 및 단체","2024. 1/2","3961","118","112","6","152","170","3.7",
"전국","5규모(300인이상)","S94 협회 및 단체","2024. 2/2","4006","204","190","14","179","179","4.3",
"전국","5규모(300인이상)","S95 개인 및 소비용품 수리업","2024. 1/2","543","26","5","21","28","21","4.9",
"전국","5규모(300인이상)","S95 개인 및 소비용품 수리업","2024. 2/2","535","18","5","13","17","17","3.1",
"전국","5규모(300인이상)","S96 기타 개인 서비스업","2024. 1/2","740","230","160","70","306","306","29.3",
"전국","5규모(300인이상)","S96 기타 개인 서비스업","2024. 2/2","0","0","0","0","0","0","0",
"전국","중소규모(5~299인)","전산업","2024. 1/2","10928454","848170","761796","86374","315398","314361","2.8",
"전국","중소규모(5~299인)","전산업","2024. 2/2","10951403","764285","677168","87117","314708","320240","2.8",
"전국","중소규모(5~299인)","BC 광공업 (05-34)","2024. 1/2","2543615","136170","106934","29236","86552","84653","3.3",
"전국","중소규모(5~299인)","BC 광공업 (05-34)","2024. 2/2","2542502","131146","105262","25884","81471","80993","3.1",
"전국","중소규모(5~299인)","B.광업(05~08)","2024. 1/2","9612","433","391","42","181","192","1.8",
"전국","중소규모(5~299인)","B.광업(05~08)","2024. 2/2","9549","422","380","42","164","163","1.7",
"전국","중소규모(5~299인)","B05 석탄, 원유 및 천연가스 광업","2024. 1/2","600","1","1","0","4","4",".7",
"전국","중소규모(5~299인)","B05 석탄, 원유 및 천연가스 광업","2024. 2/2","478","34","34","0","2","2",".4",
"전국","중소규모(5~299인)","B06 금속 광업","2024. 1/2","366","22","22","0","26","26","6.6",
"전국","중소규모(5~299인)","B06 금속 광업","2024. 2/2","364","12","12","0","9","9","2.4",
"전국","중소규모(5~299인)","B07 비금속광물 광업; 연료용 제외","2024. 1/2","8637","410","368","42","151","162","1.7",
"전국","중소규모(5~299인)","B07 비금속광물 광업; 연료용 제외","2024. 2/2","8700","376","334","42","153","152","1.7",
"전국","중소규모(5~299인)","B08 광업 지원 서비스업","2024. 1/2","9","0","0","0","0","0","0",
"전국","중소규모(5~299인)","B08 광업 지원 서비스업","2024. 2/2","8","0","0","0","0","0","0",
"전국","중소규모(5~299인)","C.제조업(10~34)","2024. 1/2","2534003","135737","106543","29194","86370","84461","3.3",
"전국","중소규모(5~299인)","C.제조업(10~34)","2024. 2/2","2532952","130724","104882","25842","81308","80830","3.1",
"전국","중소규모(5~299인)","C10 식료품 제조업","2024. 1/2","229320","17509","14257","3252","9852","10170","4.1",
"전국","중소규모(5~299인)","C10 식료품 제조업","2024. 2/2","228693","15011","11945","3066","8969","8949","3.8",
"전국","중소규모(5~299인)","C11 음료 제조업","2024. 1/2","13328","555","457","98","324","344","2.4",
"전국","중소규모(5~299인)","C11 음료 제조업","2024. 2/2","12909","500","352","148","335","346","2.5",
"전국","중소규모(5~299인)","C12 담배 제조업","2024. 1/2","596","0","0","0","0","0","0",
"전국","중소규모(5~299인)","C12 담배 제조업","2024. 2/2","591","0","0","0","0","0","0",
"전국","중소규모(5~299인)","C13 섬유제품 제조업; 의복 제외","2024. 1/2","78094","2632","2248","384","1438","1298","1.8",
"전국","중소규모(5~299인)","C13 섬유제품 제조업; 의복 제외","2024. 2/2","75778","3324","2743","581","1809","1840","2.3",
"전국","중소규모(5~299인)","C14 의복, 의복 액세서리 및 모피제품 제조업","2024. 1/2","44529","2231","2040","191","1082","928","2.4",
"전국","중소규모(5~299인)","C14 의복, 의복 액세서리 및 모피제품 제조업","2024. 2/2","43677","2745","2556","189","997","997","2.2",
"전국","중소규모(5~299인)","C15 가죽, 가방 및 신발 제조업","2024. 1/2","12906","600","464","136","472","472","3.5",
"전국","중소규모(5~299인)","C15 가죽, 가방 및 신발 제조업","2024. 2/2","12017","498","357","141","399","399","3.2",
"전국","중소규모(5~299인)","C16 목재 및 나무제품 제조업; 가구 제외","2024. 1/2","24253","932","614","318","942","942","3.7",
"전국","중소규모(5~299인)","C16 목재 및 나무제품 제조업; 가구 제외","2024. 2/2","24368","655","591","64","371","352","1.5",
"전국","중소규모(5~299인)","C17 펄프, 종이 및 종이제품 제조업","2024. 1/2","67038","3658","2780","878","2089","2008","3",
"전국","중소규모(5~299인)","C17 펄프, 종이 및 종이제품 제조업","2024. 2/2","66660","3543","3120","423","1815","1673","2.7",
"전국","중소규모(5~299인)","C18 인쇄 및 기록매체 복제업","2024. 1/2","35247","1539","1009","530","794","794","2.2",
"전국","중소규모(5~299인)","C18 인쇄 및 기록매체 복제업","2024. 2/2","35046","867","790","77","793","752","2.2",
"전국","중소규모(5~299인)","C19 코크스, 연탄 및 석유정제품 제조업","2024. 1/2","2774","88","64","24","64","64","2.3",
"전국","중소규모(5~299인)","C19 코크스, 연탄 및 석유정제품 제조업","2024. 2/2","2834","68","47","21","99","68","3.4",
"전국","중소규모(5~299인)","C20 화학 물질 및 화학제품 제조업; 의약품 제외","2024. 1/2","138094","6862","5551","1311","4910","4486","3.4",
"전국","중소규모(5~299인)","C20 화학 물질 및 화학제품 제조업; 의약품 제외","2024. 2/2","139159","7105","5569","1536","4422","4967","3.1",
"전국","중소규모(5~299인)","C21 의료용 물질 및 의약품 제조업","2024. 1/2","41753","2194","1767","427","1147","1123","2.7",
"전국","중소규모(5~299인)","C21 의료용 물질 및 의약품 제조업","2024. 2/2","42849","2767","2345","422","1240","1228","2.8",
"전국","중소규모(5~299인)","C22 고무 및 플라스틱제품 제조업","2024. 1/2","206972","10454","8012","2442","7610","7465","3.5",
"전국","중소규모(5~299인)","C22 고무 및 플라스틱제품 제조업","2024. 2/2","205681","9417","7427","1990","6478","6409","3.1",
"전국","중소규모(5~299인)","C23 비금속 광물제품 제조업","2024. 1/2","90798","3479","2620","859","2443","2464","2.6",
"전국","중소규모(5~299인)","C23 비금속 광물제품 제조업","2024. 2/2","89457","4576","3662","914","2925","2909","3.2",
"전국","중소규모(5~299인)","C24 1차 금속 제조업","2024. 1/2","103653","4748","3658","1090","3225","3221","3",
"전국","중소규모(5~299인)","C24 1차 금속 제조업","2024. 2/2","102544","4750","3603","1147","2813","2851","2.7",
"전국","중소규모(5~299인)","C25 금속 가공제품 제조업; 기계 및 가구 제외","2024. 1/2","288527","14682","11609","3073","11195","10779","3.7",
"전국","중소규모(5~299인)","C25 금속 가공제품 제조업; 기계 및 가구 제외","2024. 2/2","287969","15127","11995","3132","10403","9975","3.5",
"전국","중소규모(5~299인)","C26 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","2024. 1/2","139429","8282","6794","1488","4138","4071","2.9",
"전국","중소규모(5~299인)","C26 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","2024. 2/2","139150","7814","6696","1118","3822","3743","2.7",
"전국","중소규모(5~299인)","C27 의료, 정밀, 광학 기기 및 시계 제조업","2024. 1/2","110077","6198","4565","1633","3137","3033","2.8",
"전국","중소규모(5~299인)","C27 의료, 정밀, 광학 기기 및 시계 제조업","2024. 2/2","109918","5898","4544","1354","4260","4372","3.7",
"전국","중소규모(5~299인)","C28 전기장비 제조업","2024. 1/2","175932","8939","7425","1514","5498","5345","3",
"전국","중소규모(5~299인)","C28 전기장비 제조업","2024. 2/2","176436","7472","6332","1140","5239","5212","2.9",
"전국","중소규모(5~299인)","C29 기타 기계 및 장비 제조업","2024. 1/2","351879","21067","15569","5498","12910","12848","3.5",
"전국","중소규모(5~299인)","C29 기타 기계 및 장비 제조업","2024. 2/2","352307","18759","14561","4198","12439","12116","3.4",
