"시도별(17개)","규모별","직종별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2023. 1/2","51375","804","748","56","235","231",".5",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2023. 2/2","51183","472","450","22","190","192",".4",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2023. 1/2","569920","30926","28494","2432","9963","10515","1.7",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2023. 2/2","588261","28067","26493","1574","7774","8088","1.3",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2023. 1/2","64749","3144","2797","347","1490","1616","2.2",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2023. 2/2","65917","2575","2378","197","1722","1926","2.5",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2023. 1/2","4553","89","85","4","41","41",".9",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2023. 2/2","4329","47","46","1","9","10",".2",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2023. 1/2","23231","352","342","10","72","69",".3",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2023. 2/2","24372","219","206","13","90","92",".4",
"전국","5규모(300인이상)","013 전문서비스 관리자","2023. 1/2","9394","143","115","28","19","19",".2",
"전국","5규모(300인이상)","013 전문서비스 관리자","2023. 2/2","9605","103","98","5","27","26",".3",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2023. 1/2","525","13","13","0","2","2",".4",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2023. 2/2","435","5","5","0","4","4",".9",
"전국","5규모(300인이상)","015 영업ㆍ판매ㆍ운송 관리자","2023. 1/2","5534","71","70","1","61","59","1.1",
"전국","5규모(300인이상)","015 영업ㆍ판매ㆍ운송 관리자","2023. 2/2","5054","52","51","1","21","21",".4",
"전국","5규모(300인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","2023. 1/2","8138","136","123","13","40","41",".5",
"전국","5규모(300인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","2023. 2/2","7388","46","44","2","39","39",".5",
"전국","5규모(300인이상)","021 정부ㆍ공공 행정 전문가","2023. 1/2","1","0","0","0","0","0","0",
"전국","5규모(300인이상)","021 정부ㆍ공공 행정 전문가","2023. 2/2","2","0","0","0","0","0","0",
"전국","5규모(300인이상)","022 경영ㆍ인사 전문가","2023. 1/2","7648","477","463","14","70","70",".9",
"전국","5규모(300인이상)","022 경영ㆍ인사 전문가","2023. 2/2","8039","545","538","7","136","135","1.7",
"전국","5규모(300인이상)","023 회계ㆍ세무ㆍ감정 전문가","2023. 1/2","12362","211","186","25","406","400","3.2",
"전국","5규모(300인이상)","023 회계ㆍ세무ㆍ감정 전문가","2023. 2/2","13382","1038","1026","12","155","155","1.1",
"전국","5규모(300인이상)","024 광고ㆍ조사ㆍ상품기획ㆍ행사기획 전문가","2023. 1/2","15836","654","582","72","327","326","2",
"전국","5규모(300인이상)","024 광고ㆍ조사ㆍ상품기획ㆍ행사기획 전문가","2023. 2/2","18541","710","600","110","417","416","2.2",
"전국","5규모(300인이상)","025 정부ㆍ공공 행정 사무원","2023. 1/2","10389","303","234","69","278","357","2.6",
"전국","5규모(300인이상)","025 정부ㆍ공공 행정 사무원","2023. 2/2","9822","329","297","32","211","220","2.1",
"전국","5규모(300인이상)","026 경영지원 사무원","2023. 1/2","251577","10891","10289","602","3790","3938","1.5",
"전국","5규모(300인이상)","026 경영지원 사무원","2023. 2/2","255882","9065","8430","635","3154","3297","1.2",
"전국","5규모(300인이상)","027 회계ㆍ경리 사무원","2023. 1/2","33679","1355","1252","103","565","566","1.6",
