전공,총 졸업자 수,총 취업자 수,취업률,조사년도
간호,26308,20509,77.96,2024
건축,12909,8348,64.67,2024
경영ㆍ경제,87208,49083,56.28,2024
교육일반,11205,7884,70.36,2024
교통ㆍ운송,7473,4525,60.55,2024
기계ㆍ금속,24670,15449,62.62,2024
기타,10678,7303,68.39,2024
농림ㆍ수산,6033,3630,60.17,2024
디자인,20273,10879,53.66,2024
무용ㆍ체육,14673,8759,59.69,2024
미술ㆍ조형,4082,1942,47.57,2024
법률,8028,5025,62.59,2024
사회과학,69660,42206,60.59,2024
산업,5514,3729,67.63,2024
생물ㆍ화학ㆍ환경,26793,13043,48.68,2024
생활과학,20885,12006,57.49,2024
소재ㆍ재료,8817,4966,56.32,2024
수학ㆍ물리ㆍ천문ㆍ지리,9304,4606,49.51,2024
약학,2962,2155,72.75,2024
언어ㆍ문학,30158,15208,50.43,2024
연극ㆍ영화,3611,2171,60.12,2024
유아교육,12153,9229,75.94,2024
음악,11321,5778,51.04,2024
응용예술,20134,11440,56.82,2024
의료,8451,5974,70.69,2024
인문과학,30517,14490,47.48,2024
전기ㆍ전자,25391,15223,59.95,2024
정밀ㆍ에너지,5055,2989,59.13,2024
중등교육,14860,7749,52.15,2024
초등교육,3353,2305,68.74,2024
치료ㆍ보건,31862,23127,72.58,2024
컴퓨터ㆍ통신,40818,23138,56.69,2024
토목ㆍ도시,8999,5863,65.15,2024
특수교육,3463,2412,69.65,2024
화공,7283,3942,54.13,2024
