전공,총 졸업자 수,총 취업자 수,취업률,조사년도
간호,24825,20736,83.53,2022
건축,12751,8681,68.08,2022
경영ㆍ경제,79542,44388,55.8,2022
교육일반,2694,1323,49.11,2022
교통ㆍ운송,7398,4561,61.65,2022
기계ㆍ금속,26300,16943,64.42,2022
기타,9290,6207,66.81,2022
농림ㆍ수산,3680,2057,55.9,2022
디자인,20382,12118,59.45,2022
무용ㆍ체육,13911,8051,57.88,2022
미술ㆍ조형,4057,2092,51.57,2022
법률,4554,2348,51.56,2022
사회과학,54065,30846,57.05,2022
산업,4864,3365,69.18,2022
생물ㆍ화학ㆍ환경,26269,13778,52.45,2022
생활과학,20057,11531,57.49,2022
소재ㆍ재료,9017,5461,60.56,2022
수학ㆍ물리ㆍ천문ㆍ지리,9422,5021,53.29,2022
약학,2642,2034,76.99,2022
언어ㆍ문학,27378,13905,50.79,2022
연극ㆍ영화,3599,2144,59.57,2022
유아교육,11812,8454,71.57,2022
음악,9147,4536,49.59,2022
응용예술,15527,9123,58.76,2022
의료,7871,6898,87.64,2022
인문과학,19578,8482,43.32,2022
전기ㆍ전자,25893,15873,61.3,2022
정밀ㆍ에너지,5438,3331,61.25,2022
중등교육,11176,4795,42.9,2022
초등교육,2786,1722,61.81,2022
치료ㆍ보건,29202,20719,70.95,2022
컴퓨터ㆍ통신,35084,21368,60.91,2022
토목ㆍ도시,7858,5007,63.72,2022
특수교육,2491,1499,60.18,2022
화공,7479,4512,60.33,2022
