"시도별(17개)","규모별","산업분류별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","전산업","2022. 1/2","2697517","194670","183441","11229","47471","53980","1.7",
"전국","5규모(300인이상)","전산업","2022. 2/2","2748133","172129","160323","11806","45879","53307","1.6",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2022. 1/2","744620","22671","20497","2174","8145","8526","1.1",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2022. 2/2","753895","23092","21083","2009","7837","8700","1",
"전국","5규모(300인이상)","B.광업(05~08)","2022. 1/2","1175","8","8","0","0","0","0",
"전국","5규모(300인이상)","B.광업(05~08)","2022. 2/2","1190","85","69","16","18","18","1.5",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2022. 1/2","701","8","8","0","0","0","0",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2022. 2/2","640","40","40","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2022. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2022. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2022. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2022. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2022. 1/2","474","0","0","0","0","0","0",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2022. 2/2","550","44","29","15","18","18","3.2",
"전국","5규모(300인이상)","C.제조업(10~34)","2022. 1/2","743445","22662","20489","2173","8145","8526","1.1",
"전국","5규모(300인이상)","C.제조업(10~34)","2022. 2/2","752705","23007","21014","1993","7818","8682","1",
"전국","5규모(300인이상)","C10 식료품 제조업","2022. 1/2","26333","1693","1307","386","690","965","2.6",
"전국","5규모(300인이상)","C10 식료품 제조업","2022. 2/2","27200","2719","2335","384","999","1091","3.5",
"전국","5규모(300인이상)","C11 음료 제조업","2022. 1/2","3474","130","109","21","41","41","1.2",
"전국","5규모(300인이상)","C11 음료 제조업","2022. 2/2","3603","137","107","30","80","74","2.2",
"전국","5규모(300인이상)","C12 담배 제조업","2022. 1/2","2288","42","34","8","64","64","2.7",
"전국","5규모(300인이상)","C12 담배 제조업","2022. 2/2","2317","117","86","31","45","45","1.9",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2022. 1/2","2413","53","44","9","83","83","3.3",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2022. 2/2","2124","53","36","17","29","24","1.3",
"전국","5규모(300인이상)","C14 의복, 의복 액세서리 및 모피제품 제조업","2022. 1/2","7168","413","411","2","228","228","3.1",
"전국","5규모(300인이상)","C14 의복, 의복 액세서리 및 모피제품 제조업","2022. 2/2","6790","426","399","27","188","188","2.7",
"전국","5규모(300인이상)","C15 가죽, 가방 및 신발 제조업","2022. 1/2","344","0","0","0","5","5","1.4",
"전국","5규모(300인이상)","C15 가죽, 가방 및 신발 제조업","2022. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C16 목재 및 나무제품 제조업; 가구 제외","2022. 1/2","326","10","2","8","9","9","2.7",
"전국","5규모(300인이상)","C16 목재 및 나무제품 제조업; 가구 제외","2022. 2/2","329","36","10","26","25","25","7.1",
"전국","5규모(300인이상)","C17 펄프, 종이 및 종이제품 제조업","2022. 1/2","3092","40","34","6","7","7",".2",
"전국","5규모(300인이상)","C17 펄프, 종이 및 종이제품 제조업","2022. 2/2","3110","35","33","2","9","9",".3",
"전국","5규모(300인이상)","C18 인쇄 및 기록매체 복제업","2022. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C18 인쇄 및 기록매체 복제업","2022. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C19 코크스, 연탄 및 석유정제품 제조업","2022. 1/2","10233","166","166","0","149","161","1.4",
"전국","5규모(300인이상)","C19 코크스, 연탄 및 석유정제품 제조업","2022. 2/2","9946","175","175","0","148","148","1.5",
"전국","5규모(300인이상)","C20 화학 물질 및 화학제품 제조업; 의약품 제외","2022. 1/2","33325","792","753","39","343","374","1",
