직업코드,직업명,조사년도,총 구인인원
561,청소ㆍ방역 및 가사 서비스원,2024,84240
562,검침ㆍ주차관리 및 기타 서비스 단순 종사자,2024,21041
611,부동산 컨설턴트 및 중개인,2024,759
612,영업원 및 상품중개인,2024,41234
613,텔레마케터,2024,9030
614,소규모 상점 경영 및 일선 관리 종사자,2024,42
615,판매 종사자,2024,45489
616,매장 계산원 및 매표원,2024,11783
617,판촉 및 기타 판매 단순 종사자,2024,35585
621,항공기ㆍ선박ㆍ철도 조종사 및 관제사,2024,1499
622,자동차 운전원,2024,87569
623,"물품이동장비 조작원(크레인, 호이스트, 지게차)",2024,6074
624,택배원 및 기타 운송 종사자,2024,24481
701,건설구조 기능원,2024,36209
702,건축마감 기능원,2024,29721
703,배관공,2024,18427
704,건설ㆍ채굴기계 운전원,2024,4061
705,기타 건설ㆍ채굴 기능원(채굴포함),2024,1477
706,건설ㆍ채굴 단순 종사자,2024,127465
811,기계장비 설치ㆍ정비원(운송장비 제외),2024,15213
812,운송장비 정비원,2024,7671
813,금형원 및 공작기계 조작원,2024,18284
814,냉ㆍ난방 설비 조작원,2024,4540
815,자동 조립라인ㆍ산업용 로봇 조작원,2024,1059
816,기계 조립원(운송장비 제외),2024,6446
817,운송장비 조립원,2024,9024
821,금속관련 기계ㆍ설비 조작원,2024,6026
822,판금원 및 제관원,2024,1912
823,단조원 및 주조원,2024,2743
824,용접원,2024,10006
825,도장원 및 도금원,2024,4035
826,비금속제품 생산기계 조작원,2024,2922
831,전기공,2024,30030
832,전기ㆍ전자기기 설치ㆍ수리원,2024,2955
833,발전ㆍ배전 장치 조작원,2024,699
834,전기ㆍ전자 설비 조작원,2024,15606
835,전기ㆍ전자 부품ㆍ제품 생산기계 조작원,2024,9382
836,전기ㆍ전자 부품ㆍ제품 조립원,2024,16308
841,정보통신기기 설치ㆍ수리원,2024,1970
842,방송·통신장비 설치ㆍ정비원,2024,6306
851,석유ㆍ화학물 가공장치 조작원,2024,2792
852,고무ㆍ플라스틱 및 화학제품 생산기계 조작원 및 조립원,2024,13466
853,환경관련 장치 조작원,2024,1830
861,섬유 제조ㆍ가공 기계 조작원,2024,2658
862,"패턴사, 재단사 및 재봉사",2024,2068
863,의복 제조원 및 수선원,2024,200
864,"제화원, 기타 섬유ㆍ의복 기계 조작원 및 조립원",2024,1340
871,제과ㆍ제빵원 및 떡제조원,2024,2852
872,식품 가공 기능원,2024,9942
873,식품 가공 기계 조작원,2024,7677
881,인쇄기계ㆍ사진현상기 조작원,2024,1867
882,목재ㆍ펄프ㆍ종이 생산기계 조작원,2024,3923
883,가구ㆍ목제품 제조ㆍ수리원,2024,1508
884,공예원 및 귀금속세공원,2024,565
885,악기ㆍ간판 및 기타 제조 종사자,2024,4341
890,제조 단순 종사자,2024,78155
901,작물재배 종사자,2024,5390
902,낙농ㆍ사육 종사자,2024,262
903,임업 종사자,2024,87
904,어업 종사자,2024,142
905,농림어업 단순 종사자,2024,3957
