직업코드,직업명,조사년도,총 구인인원
011,의회의원ㆍ고위공무원 및 기업 고위 임원,2024,141
012,행정ㆍ경영ㆍ금융ㆍ보험 관리자,2024,1408
013,전문서비스 관리자,2024,576
014,미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자,2024,49
015,영업ㆍ판매ㆍ운송 관리자,2024,266
016,건설ㆍ채굴ㆍ제조ㆍ생산 관리자,2024,794
021,정부ㆍ공공 행정 전문가,2024,0
022,경영ㆍ인사 전문가,2024,2719
023,회계ㆍ세무ㆍ감정 전문가,2024,1613
024,광고ㆍ조사ㆍ상품기획ㆍ행사기획 전문가,2024,9032
025,정부ㆍ공공 행정 사무원,2024,2520
026,경영지원 사무원,2024,90700
027,회계ㆍ경리 사무원,2024,31320
028,무역ㆍ운송ㆍ생산ㆍ품질 사무원,2024,48510
029,안내ㆍ고객상담ㆍ통계ㆍ비서ㆍ사무보조 및 기타 사무원,2024,77984
031,금융ㆍ보험 전문가,2024,3997
032,금융ㆍ보험 사무원,2024,14071
033,금융ㆍ보험 영업원,2024,3355
110,인문ㆍ사회과학 연구원,2024,3184
121,자연과학 연구원 및 시험원,2024,1877
122,생명과학 연구원 및 시험원,2024,6941
131,컴퓨터 하드웨어ㆍ통신공학 기술자,2024,3357
132,컴퓨터시스템 전문가,2024,1197
133,소프트웨어 개발자,2024,35304
134,데이터ㆍ네트워크 및 시스템 운영 전문가,2024,10617
135,정보보안 전문가,2024,1903
136,통신ㆍ방송송출 장비 기사,2024,156
140,건축ㆍ토목 공학 기술자 및 시험원,2024,38347
151,기계ㆍ로봇공학 기술자 및 시험원,2024,14976
152,금속ㆍ재료공학 기술자 및 시험원,2024,2989
153,전기ㆍ전자공학 기술자 및 시험원,2024,16646
154,화학공학 기술자 및 시험원,2024,4685
155,에너지ㆍ환경공학 기술자 및 시험원,2024,4325
156,섬유공학 기술자 및 시험원,2024,166
157,식품공학 기술자 및 시험원,2024,1076
158,소방ㆍ방재ㆍ산업안전ㆍ비파괴 기술자,2024,8497
159,제도사 및 기타 인쇄ㆍ목재 등 공학 기술자 및 시험원,2024,3806
211,대학교수 및 강사,2024,33909
212,학교 교사,2024,15279
213,유치원 교사,2024,7399
214,문리ㆍ기술ㆍ예능 강사,2024,21884
215,장학관 및 기타 교육 종사자,2024,20374
221,법률 전문가,2024,1991
222,법률 사무원,2024,2674
231,사회복지사 및 상담사,2024,18735
232,보육교사 및 기타 사회복지 종사자,2024,46973
233,성직자 및 기타 종교 종사자,2024,1102
240,"경찰관, 소방관 및 교도관",2024,3
250,군인,2024,0
301,"의사, 한의사 및 치과의사",2024,14795
302,수의사,2024,288
303,약사 및 한약사,2024,3035
304,간호사,2024,42110
305,영양사,2024,2360
306,의료기사ㆍ치료사ㆍ재활사,2024,24326
307,보건ㆍ의료 종사자,2024,38941
411,작가ㆍ통번역가,2024,2897
412,기자 및 언론 전문가,2024,1097
413,학예사ㆍ사서ㆍ기록물관리사,2024,987
414,"창작ㆍ공연 전문가(작가, 연극인 제외)",2024,1884
415,디자이너,2024,16305
416,연극ㆍ영화ㆍ방송 전문가,2024,6980
417,문화ㆍ예술 기획자 및 매니저,2024,988
420,스포츠ㆍ레크리에이션 종사자,2024,9458
511,미용 서비스원,2024,6668
512,결혼ㆍ장례 등 예식 서비스원,2024,1321
521,여행 서비스원,2024,1684
522,항공기ㆍ선박ㆍ열차 객실 승무원,2024,1111
523,숙박시설 서비스원,2024,3228
524,오락시설 서비스원,2024,3650
531,주방장 및 조리사,2024,41175
532,식당 서비스원,2024,81744
541,경호ㆍ보안 종사자,2024,8564
542,경비원,2024,48475
550,돌봄 서비스 종사자,2024,90720
