"시도별(17개)","규모별","직종별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2022. 1/2","49449","701","650","51","263","265",".5",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2022. 2/2","50154","502","481","21","187","213",".4",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2022. 1/2","552911","33143","31386","1757","10299","11867","1.8",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2022. 2/2","563322","32255","30527","1728","8629","9480","1.5",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2022. 1/2","64500","3455","3168","287","1592","1800","2.4",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2022. 2/2","63271","3224","2972","252","1593","1850","2.5",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2022. 1/2","4891","111","111","0","19","19",".4",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2022. 2/2","4479","36","35","1","21","21",".5",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2022. 1/2","22195","296","283","13","101","101",".5",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2022. 2/2","22878","249","245","4","79","91",".3",
"전국","5규모(300인이상)","013 전문서비스 관리자","2022. 1/2","9084","138","129","9","16","19",".2",
"전국","5규모(300인이상)","013 전문서비스 관리자","2022. 2/2","9072","91","85","6","22","23",".2",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2022. 1/2","483","7","7","0","2","1",".4",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2022. 2/2","470","1","1","0","1","1",".2",
"전국","5규모(300인이상)","015 영업ㆍ판매ㆍ운송 관리자","2022. 1/2","5229","78","54","24","63","63","1.2",
"전국","5규모(300인이상)","015 영업ㆍ판매ㆍ운송 관리자","2022. 2/2","5348","74","66","8","40","40",".7",
"전국","5규모(300인이상)","016 건설ㆍ채굴ㆍ제조ㆍ생산 관리자","2022. 1/2","7568","70","67","3","63","63",".8",
